13760	6958,5844,6794,5995,1375,4076,3334
5713	6958
2594	3614
11579	6347
8908	7939,1255
7702	7939
5543	7939
8670	7939
2276	7939
13508	7939,1255
4598	7939
14820	1255
14186	1255
1870	3532
6949	9145
1496	9034
16425	9034,197
16689	9034,197,565
8515	9503
5131	9503
8936	9503
170	1791
11164	1791
15386	9190
6169	9190,1956
13776	3943,4635
3830	3943
2358	3943
8251	6071,588,7577
13108	6071
9901	6071,588
14225	453
16540	453
2080	8378
11112	8378
7856	5894,5859
16792	5894,7206
4289	3276,9577
16096	3276
15910	3276,9487
13382	6138
11729	6169,5674
9320	8959
6002	8959,565
7183	7577
5337	197
8769	197
1000	197
15202	197
10320	197
1335	2649
9707	2649,8692
902	4800,7877
10868	4800,7877
6908	4800,7877
16220	4800,7877
9119	1390
7147	6821
9029	6821
11387	4635
5558	1234
10653	1234
6000	6100
4723	6100
9835	7206
5064	9487
16813	1022
3926	5674
7556	5674
12072	7416
14644	6753
8758	6566
2312	6566
12764	1783
1426	5859
5202	8172
14077	8678
10041	8678
14435	8678,811,1317
4137	8678
10981	8678
12208	8678
9940	8678
11968	8678
11166	8678
7521	335,515
9586	2039
1076	1104
2755	8334,6179,5131,5418,1204,2642,8774,4683
1512	1113,6179,5131,5418,1204,8774,7358,4683,7612,5778
14553	1113,7358
4822	3883,7270,3573,8021,1160,8941,9334,9128
3500	6216,409,5635,9070
1300	6216,5635,9070
11415	7354,1573,1998,50,6264,2114,3978,5484
15834	188
8354	4538,6511
16046	8280
16359	8207
13647	2815
12729	2606
8019	2606,5846
2417	2606
12036	6392,7404,5733,8779,5592,1089,4656,4137,5181,5864,2038
1455	1155
11285	4944,867
2510	4944
14807	5735,3800
9023	7234
4364	2978
912	8730
1582	8730
514	5622,867,9378,2132,2052,3854,1035,9404
16862	8707
12411	8707
7267	8707
8191	8707
9764	8707
2538	188,4309,8019,8875
13210	7963
15165	655
450	1262
8945	6160
4585	2753
2353	8680,278
13170	1532
6661	5862,3597,4923
8197	3239
1170	8425
5205	4581,2315,5562,8628,1800,3070,7685,6002,8967,1508,7987
6918	4260
10145	4260,7054
12810	4260,4350
9925	8559
11513	8559,4295
16780	99,7376
2262	99
13891	99,7609,3329,7612
155	99
8470	99
1068	99
8485	99
5941	99
14897	8876,6692,5604,6304,886,3044,8722,7796,8049,7394
16388	3860
2849	3328
2408	3328
12867	3328
1243	5518,3646,780,8644
11611	4395,8020,4640,6481
16052	8236
3260	5198
14119	2553
13277	8588
14438	227,780,1371
6322	6351
3591	2970
5678	2970
6903	2970
5157	409
3294	7207,4041
2357	792
15887	637
1909	8787
11838	4941
8030	4841,931,4469,4064,4058,9298,5211,6939
2275	1728
2008	8092,4859
13373	4386
6505	4386,128
6245	8994
9715	8111
2202	721
6082	721
412	5387,2658,6735
9316	5387,2658,6735
15483	3255
9824	5420
15615	7082
15928	7082
16156	7082
9371	7082
7578	7082
8446	4357
15224	1273,7477
17146	3481,3010
16182	7400,9392,3564,3217
12223	7400,9392,3564,3217
11111	4324,8251
11511	4324
6580	4324
9074	5562
16737	7026
1779	8177
8462	7514
1392	8396,881
5195	2695
5129	5493
11428	8989
8805	1980
8954	6635,7248,15,6634,133,1211,3186,5898,878,5006,6198,6939,7190,4607
11913	2532
3024	6525
13740	4032,6899
12145	8020
13801	8020
8935	32
10174	4178
7100	4178
9743	7359
14867	9392,3217
10854	9392,3217
12314	9392
9276	9392
7648	9392
3125	9392,3217
866	475
1767	7965,812,56,1467,942,8752,5302,1601,548,5296,8810,136
3111	3374
5963	944,1211,8482
13992	188
2207	1086
12666	1086,2229
13025	2208,8974
11308	2208
12785	2208,1444,8974
8989	6404
15426	4905,374
10156	9157
1709	258
2536	2095,7850,7928
13375	2138
614	2138
14372	2138
2782	4460
45	4460
780	4460
1239	8364,5755
4324	2082,780,7650
10135	5316
2359	4670
3856	4670,5752,5151,6629,6873,4664,3554
3388	4675
7137	4675
9979	1573,4183
2556	5635
15878	5635
11510	5671
16157	5966
15518	5966
9395	5966
10740	3490,360
3876	5478
9967	824
4699	824
5275	3145
14323	6225
9401	8688
8909	3254
4764	7722
14121	1250
6532	1917
75	881
2706	881
15157	8864
12620	8285
719	82
12953	82
9927	6990
5999	4172
5491	2827
11794	2827
9168	6332
17067	6332,4441
7994	8934
804	8934
6620	8948,7854
4498	7534
981	7366,1903
6567	7366
9567	7366
17097	5521
9284	9201
14656	4585
12004	4585
5822	6598,552,1372
6206	188
2762	7613
5435	7053
5793	727
12294	727
16819	5318
5622	9530
15610	2689,780
14359	1619
309	8117
12868	5406
5401	5406
16119	5406
5204	8059
17238	8059
10322	8059
6105	3872
2327	3872
16408	1444
1052	1444
15023	1444
8195	3278
15277	3278
15565	5670
14738	7919
5335	9441
1307	9480
7363	7453,9622
11030	7453
15264	864
12677	6220
14881	7857,1802
10442	780,4881
1724	8618
6081	8618
3020	2474,1147
1785	3059
4541	3379
1570	3379
1004	254
2094	7148
6004	5335
11875	5335
10326	5335
1433	4866
2	4866
6485	7427
13433	7178,230
13797	7178
3698	561
1618	5927
6402	5927
3497	4704
14038	8544
15175	8544
15510	8264
4016	2582
3053	2582
8121	2582
3232	8955
6739	7094
11326	4340
10486	9026
1813	9026
16240	9026
3894	2306,3071
13119	2637
12921	2109
9691	3401
5771	3401
16759	2486
13981	1609,7972
8720	2995,5392,2477
1718	5259,8975
15748	914
4313	914
4851	914
10006	914
4011	914
15151	914
12765	2687
1189	7419
2169	8415
3015	7500
4482	8009
6966	1699
1209	8785,7716
10856	1183,8750,5102
5821	2811
6633	2811
13684	4862
8217	1562
323	2971
9641	2318
9381	2318
3405	2318
4706	7452
13532	7452
13260	7452,2210
6010	6813
14776	2785
14899	712
7602	712
10334	712
16987	5307
409	5307
15140	1987,7484
15098	1164
9250	1164
12017	2410
2867	7351
9878	7677
3988	2736,6797
16066	3396
16138	8750
6325	7782
9587	9352
12462	4139,3175
3457	6286
11896	7057
4380	7057,8953
1775	6645
10231	8556
3889	5596
3205	1324,5304,447,6706,2168,7432
6491	7300
16726	5481
2375	4193,8277
16872	4279
1453	7477
631	7244
7744	6811
6107	7246
17292	5294,6393
14809	8116
12525	8116
499	8116
11195	8159
13521	8315
16416	1835
13732	4923
488	8260
3323	8260
5417	8260
3714	5755
3607	5755
659	400
8192	2377,5925
5838	188
14646	3104
4340	3104
2768	7597
4641	7597
6867	5342
5988	2114
4586	1463
1178	1475,9587
8336	1475
11210	1475,3500
10462	8728
3772	814
10778	814
1299	4335
6749	5235
12946	4528
15536	6778
1600	3457
4921	8914
15476	8914
9227	7364
10236	7364,2421
2195	1604
1057	3834
14981	7855
6265	7855
6826	7460
9549	7023
1167	7023
2251	6962
9765	4283
3964	7229
2027	5437
8014	4475
3195	6181
11207	9462
13413	5963
3451	5963
11376	5963
6540	5963
17079	5963
13568	4636
16887	4917
14860	4917
721	7172
8852	2749
16271	9629
15760	188
6299	3985
2124	5300
17073	5159
1792	5159
15853	4350
9856	4350
5682	4350
5497	7595
8249	3526
15081	5538
15563	2450
7524	2450
15480	2450
10433	4183
7373	3607
3047	6940
